t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,vector.x,vector.y,vector.z
1759950529.5014067,50.679486387000004,1759950529.4998918,vicon/world,1759950529,499891722,-1.7636780094868207,-0.15499355294764577,0.0
1759950529.6040804,50.782160299000004,1759950529.603771,vicon/world,1759950529,603771085,-1.774386032998489,-0.15505374543107736,0.0
1759950529.7151482,50.893227967,1759950529.7039683,vicon/world,1759950529,703968322,-1.7842763837511233,-0.1550403169364444,0.0
1759950529.8041985,50.982278305,1759950529.8038795,vicon/world,1759950529,803879481,-1.7935122058455113,-0.15424292012023888,0.0
1759950529.9012952,51.079374997,1759950529.8998191,vicon/world,1759950529,899819245,-1.8031235127806156,-0.15421386514924906,0.0
1759950530.0046778,51.182757705,1759950530.004126,vicon/world,1759950530,4126039,-1.8103742045438882,-0.15271362304943742,0.0
1759950530.1009483,51.27902807,1759950530.1003845,vicon/world,1759950530,100384436,-1.8197321235648833,-0.15231112995712007,0.0
1759950530.204102,51.382181778,1759950530.2008677,vicon/world,1759950530,200867679,-1.827473870772072,-0.15140090228284706,0.0
1759950530.3014698,51.479549537000004,1759950530.2999473,vicon/world,1759950530,299947207,-1.836241596289595,-0.1512445638887596,0.0
1759950530.4045346,51.582614504000006,1759950530.4019513,vicon/world,1759950530,401951213,-1.8466257931228813,-0.15118317222155295,0.0
1759950530.50063,51.67870979200001,1759950530.4997656,vicon/world,1759950530,499765569,-1.853920435064772,-0.15040340342293532,0.0
1759950530.6045272,51.782607181,1759950530.600853,vicon/world,1759950530,600852923,-1.8639920038921247,-0.15027890526168383,0.0
1759950530.7025428,51.880622476000006,1759950530.6999412,vicon/world,1759950530,699941097,-1.8735105057152082,-0.14954918786137913,0.0
1759950530.8018794,51.97995936900001,1759950530.8001144,vicon/world,1759950530,800114366,-1.8836729998807655,-0.14946135716939637,0.0
1759950530.9013743,52.079454187,1759950530.9010954,vicon/world,1759950530,901095284,-1.8939311808767791,-0.14937064376899412,0.0
1759950531.0176528,52.195732712,1759950531.002885,vicon/world,1759950531,2885082,-1.9000276632996753,-0.1492802070343361,0.0
1759950531.102122,52.280201968,1759950531.1017535,vicon/world,1759950531,101753531,-1.9096532569300986,-0.15013698031270037,0.0
1759950531.202426,52.380505771,1759950531.2006733,vicon/world,1759950531,200673236,-1.9096532569300986,-0.15013698031270037,0.0
1759950531.3062832,52.484363089000006,1759950531.3058505,vicon/world,1759950531,305850548,-1.9096532569300986,-0.15013698031270037,0.0
1759950531.400022,52.578102012,1759950531.3997066,vicon/world,1759950531,399706562,-1.9096532569300986,-0.15013698031270037,0.0
1759950531.5027342,52.680814095,1759950531.5022285,vicon/world,1759950531,502228582,-1.914395372651513,-0.1504384673453209,0.0
1759950531.6002147,52.778294527,1759950531.599774,vicon/world,1759950531,599773798,-1.914395372651513,-0.1504384673453209,0.0
1759950531.700211,52.878290814,1759950531.6999366,vicon/world,1759950531,699936522,-1.914395372651513,-0.1504384673453209,0.0
1759950531.8001323,52.978211948,1759950531.799775,vicon/world,1759950531,799774808,-1.914395372651513,-0.1504384673453209,0.0
1759950531.9047728,53.082852473,1759950531.9012074,vicon/world,1759950531,901207347,-1.914395372651513,-0.1504384673453209,0.0
1759950532.0040104,53.182090198000004,1759950532.0026832,vicon/world,1759950532,2683210,-1.914395372651513,-0.1504384673453209,0.0
1759950532.1017466,53.279826347000004,1759950532.100874,vicon/world,1759950532,100873951,-1.914395372651513,-0.1504384673453209,0.0
1759950532.203504,53.381583833,1759950532.2032328,vicon/world,1759950532,203232827,-1.914395372651513,-0.1504384673453209,0.0
1759950532.300261,53.478340744,1759950532.2997675,vicon/world,1759950532,299767602,-1.914395372651513,-0.1504384673453209,0.0
1759950532.4011853,53.579265336000006,1759950532.4005756,vicon/world,1759950532,400575572,-1.914395372651513,-0.1504384673453209,0.0
1759950532.5002139,53.678293741000005,1759950532.4998193,vicon/world,1759950532,499819236,-1.914395372651513,-0.1504384673453209,0.0
1759950532.6059966,53.78407652600001,1759950532.6038532,vicon/world,1759950532,603853199,-1.914395372651513,-0.1504384673453209,0.0
1759950532.7029793,53.881059335,1759950532.70247,vicon/world,1759950532,702470123,-1.914395372651513,-0.1504384673453209,0.0
1759950532.8024867,53.980566574,1759950532.8000708,vicon/world,1759950532,800070729,-1.914395372651513,-0.1504384673453209,0.0
1759950532.9005668,54.078646782,1759950532.8999243,vicon/world,1759950532,899924353,-1.914395372651513,-0.1504384673453209,0.0
1759950533.000306,54.178385512000006,1759950532.999806,vicon/world,1759950532,999805967,-1.914395372651513,-0.1504384673453209,0.0
1759950533.1036558,54.281735651000005,1759950533.10281,vicon/world,1759950533,102809970,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.2005725,54.378652314,1759950533.1997676,vicon/world,1759950533,199767564,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.300737,54.478816725,1759950533.2999341,vicon/world,1759950533,299934181,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.4001577,54.578237631,1759950533.3997607,vicon/world,1759950533,399760681,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.5002773,54.678357155,1759950533.4998455,vicon/world,1759950533,499845600,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.6007254,54.778805075,1759950533.6002855,vicon/world,1759950533,600285630,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.7001102,54.878190032000006,1759950533.699713,vicon/world,1759950533,699713065,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.8026059,54.980685874,1759950533.7999508,vicon/world,1759950533,799950739,-1.9206733433201135,-0.15582560454892258,0.0
1759950533.9008913,55.078970998,1759950533.9006133,vicon/world,1759950533,900613423,-1.9206733433201135,-0.15582560454892258,0.0
1759950534.002748,55.180827856,1759950534.000782,vicon/world,1759950534,782047,-1.9206733433201135,-0.15582560454892258,0.0
1759950534.101248,55.279328012,1759950534.099768,vicon/world,1759950534,99767844,-1.9206733433201135,-0.15582560454892258,0.0
1759950534.2032893,55.381369157,1759950534.2013671,vicon/world,1759950534,201367047,-1.9206733433201135,-0.15582560454892258,0.0
1759950534.3061604,55.48424038500001,1759950534.2998922,vicon/world,1759950534,299892229,-1.9206733433201135,-0.15582560454892258,0.0
1759950534.4002957,55.578375512,1759950534.399796,vicon/world,1759950534,399796006,-1.9206733433201135,-0.15582560454892258,0.0
1759950534.5013838,55.679463725000005,1759950534.5003996,vicon/world,1759950534,500399575,-1.9206733433201135,-0.15582560454892258,0.0
